Winner: Player (White), Black AI: Random AI, White AI: Minimax AI, Time Taken: 3.8e-05 seconds
Winner: Player (White), Black AI: Random AI, White AI: Minimax AI, Time Taken: 3.7e-05 seconds
Winner: Player (White), Black AI: Random AI, White AI: Minimax AI, Time Taken: 3.2e-05 seconds
Winner: Player (White), Black AI: Random AI, White AI: Minimax AI, Time Taken: 4.1e-05 seconds
Winner: Player (White), Black AI: Random AI, White AI: Minimax AI, Time Taken: 3.3e-05 seconds
Winner: AI (Black), Black AI: Random AI, White AI: Minimax AI, Time Taken: 5e-05 seconds
Winner: Player (White), Black AI: Random AI, White AI: Minimax AI, Time Taken: 3.5e-05 seconds
Winner: Player (White), Black AI: Random AI, White AI: Minimax AI, Time Taken: 3.6e-05 seconds
Winner: Player (White), Black AI: Random AI, White AI: Minimax AI, Time Taken: 3.7e-05 seconds
Winner: Player (White), Black AI: Random AI, White AI: Minimax AI, Time Taken: 4.2e-05 seconds
Winner: Player (White), Black AI: Random AI, White AI: Random AI, Time Taken: 3.5e-05 seconds
Winner: AI (Black), Black AI: Random AI, White AI: Random AI, Time Taken: 3.7e-05 seconds
Winner: AI (Black), Black AI: Random AI, White AI: Random AI, Time Taken: 0.000117 seconds
Winner: Player (White), Black AI: Random AI, White AI: Random AI, Time Taken: 3.5e-05 seconds
Winner: AI (Black), Black AI: Random AI, White AI: Random AI, Time Taken: 6.1e-05 seconds
Winner: AI (Black), Black AI: Random AI, White AI: Random AI, Time Taken: 4.5e-05 seconds
Winner: AI (Black), Black AI: Random AI, White AI: Random AI, Time Taken: 3.7e-05 seconds
Winner: AI (Black), Black AI: Random AI, White AI: Random AI, Time Taken: 3.6e-05 seconds
Winner: Player (White), Black AI: Random AI, White AI: Random AI, Time Taken: 3.4e-05 seconds
Winner: Player (White), Black AI: Random AI, White AI: Random AI, Time Taken: 3.5e-05 seconds
Winner: Player (White), Black AI: Random AI, White AI: Alpha-Beta AI, Time Taken: 4.6e-05 seconds
Winner: Player (White), Black AI: Random AI, White AI: Alpha-Beta AI, Time Taken: 4.4e-05 seconds
Winner: Player (White), Black AI: Random AI, White AI: Alpha-Beta AI, Time Taken: 3.4e-05 seconds
Winner: Player (White), Black AI: Random AI, White AI: Alpha-Beta AI, Time Taken: 4.2e-05 seconds
Winner: Player (White), Black AI: Random AI, White AI: Alpha-Beta AI, Time Taken: 5.3e-05 seconds
Winner: Player (White), Black AI: Random AI, White AI: Alpha-Beta AI, Time Taken: 3.1e-05 seconds
Winner: Player (White), Black AI: Random AI, White AI: Alpha-Beta AI, Time Taken: 3.3e-05 seconds
Winner: Player (White), Black AI: Random AI, White AI: Alpha-Beta AI, Time Taken: 3.3e-05 seconds
